     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=OS value=Linux
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=OS value=Windows
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Priority value=Normal
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Product value=MobaXterm
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Product value=OpenSSH
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Product value=Putty
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Product value=Xming
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Protocol value=SSH
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Protocol value=X11
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Scope value=Unix Administration
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Service value=sshd
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Status value=Released
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Tag value=forwarding
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Tag value=graphical
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Tag value=display
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Tag value=remote
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Tag value=secure
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Tag value=client
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Topic value=Administration
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Topic value=Configuration
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=X11-SSH-FORWARDING.md key=Topic value=Connectivity
     DEBUG |  139 | Processor       | [PROCESSOR] HASH doc=X11-SSH-FORWARDING.md body=d13f6093c0748efb8a86887f97ed8c99a0576389b5edf1c1def7f68272df7f050c5fec4c4cbfb3233711675ed08c8c3a90244026091d48652423ba0704add536 meta=8e5e150e6cf6bc661350a943a605ee5864af812f248de3e1245248af79eab716abbbf11ca14e856f4ad76de13bc04e1555a1027263ec07367ff87b725ee5de70
     DEBUG |  230 | Backend         | [BACKEND] ADD_TARGET doc=X11-SSH-FORWARDING.md resource=X11-SSH-FORWARDING.html
     DEBUG |   85 | Processor       | [PROCESSOR] DOC_VALID doc=LINUX-SYSTEMD-JOURNALCTL.md valid=True reason=Success
     DEBUG |   69 | Database        | [DATABASE] DOC_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Title value=How to manage Systemd journal logs
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Category value=Procedure
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Command value=journalctl
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Command value=cp
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Command value=du
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Command value=systemctl
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Date value=2024-05-14 12:00:00
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=DocType value=Reference
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Filename value=journald.conf
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Filename value=journald.conf.back
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Filesystem value=/etc
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Filesystem value=/var
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Filesystem value=/var/log
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Filesystem value=/etc/systemd
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Filesystem value=/var/log/journal
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=OS value=Linux
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Priority value=Normal
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Product value=Systemd
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Scope value=Unix Administration
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Status value=Released
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Tag value=clear
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Tag value=log
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Tag value=message
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Tag value=vacuum
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Tag value=unit
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Team value=Unix
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Topic value=Administration
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Topic value=Monitoring
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Topic value=Troubleshooting
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Topic value=Housekeeping
     DEBUG |   80 | Database        | [DATABASE] KV_ADD doc=LINUX-SYSTEMD-JOURNALCTL.md key=Website value=linuxhandbook.com
